provider_id|provider_name|website_url|support_url
1|BuyVM|http://buyvm.net/|https://my.frantech.ca/submitticket.php
2|AvailableVPS|http://availablevps.com/|https://clients.availablevps.com/?cmd=clientarea
3|CHHost|http://chhost.net/|https://chhost.net/vip/submitticket.php
5|QuickWeb|http://quickweb.co.nz/|https://secure.quickweb.co.nz/system/submitticket.php
6|EnZu|https://www.enzu.com/|https://www.enzu.com/account/submitticket.php
7|HazeNet|http://hazenet.co.uk/|https://secure.hazenet.co.uk/submitticket.php
8|NordicVPS|http://nordicvps.com/|https://nordicvps.com/portal/submitticket.php
9|BigBrainHost|http://www.bigbrainhost.com/|http://www.bigbrainhost.com/
10|123Systems|http://www.123systems.net/|https://www.123systems.net/billing/submitticket.php
11|Virpus|http://virpus.com/|https://myvirpus.com/submitticket.php
12|DirectSpace|http://directspace.net/|https://directspace.net/eportal/submitticket.php
13|VPSUnlimited|http://vpsunlimited.com/|http://www.vpsunlimited.com/portal/submitticket.php
14|YardVPS|http://yardvps.com/|https://www.yardvps.com/billing/submitticket.php
